ID,Match,Player,Team,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS,Playtime,PER
BALresults/6N0csZhc.csvWebster C.ALA,BALresults/6N0csZhc.csv,Webster C.,ALA,13,5,2,17:55,5,10,2,4,3,6,0,0,23,1,4,1,0,1,0,0,0,17.91666667,27.07936744
BALresults/6N0csZhc.csvNdayisaba D.REG,BALresults/6N0csZhc.csv,Ndayisaba D.,REG,8,3,0,16:07,3,5,1,1,2,4,0,0,-3,3,0,3,1,2,0,0,0,16.11666667,18.30496381
BALresults/6N0csZhc.csvAboelnasr M.ALA,BALresults/6N0csZhc.csv,Aboelnasr M.,ALA,7,3,2,14:02,3,3,2,2,1,1,0,0,14,2,1,1,0,1,0,0,0,14.03333333,28.56463183
BALresults/6N0csZhc.csvFakuade M.ALA,BALresults/6N0csZhc.csv,Fakuade M.,ALA,7,6,2,16:49,3,6,2,3,1,3,0,0,9,3,3,0,0,3,0,1,0,16.81666667,15.53643211
BALresults/6N0csZhc.csvKambuy P.REG,BALresults/6N0csZhc.csv,Kambuy P.,REG,7,6,1,28:31:00,3,9,3,8,0,1,1,2,-2,0,6,3,2,3,1,0,0,28.51666667,3.718316774
BALresults/6N0csZhc.csvThompson M.ALA,BALresults/6N0csZhc.csv,Thompson M.,ALA,7,1,2,27:33:00,2,3,0,0,2,3,1,1,11,1,0,2,1,0,0,0,0,27.55,14.92130672
BALresults/6N0csZhc.csvZahran A.ALA,BALresults/6N0csZhc.csv,Zahran A.,ALA,6,5,2,22:21,2,9,2,4,0,5,2,2,3,1,4,2,1,3,0,1,0,22.35,0.734228188
BALresults/6N0csZhc.csvOraby O.ALA,BALresults/6N0csZhc.csv,Oraby O.,ALA,4,1,0,11:36,1,1,1,1,0,0,2,4,-2,0,1,3,0,2,0,0,0,11.6,-0.4475
BALresults/6N0csZhc.csvSaid S.ALA,BALresults/6N0csZhc.csv,Said S.,ALA,4,0,0,6:44,2,3,2,3,0,0,0,0,7,0,0,2,1,0,0,0,0,6.733333333,22.60084158
BALresults/6N0csZhc.csvCamara D.ALA,BALresults/6N0csZhc.csv,Camara D.,ALA,3,0,0,1:05,1,1,0,0,1,1,0,0,-1,0,0,0,0,0,0,0,0,1.083333333,127.0772308
BALresults/6N0csZhc.csvIsmail A.ALA,BALresults/6N0csZhc.csv,Ismail A.,ALA,3,3,1,21:11,1,2,1,2,0,0,1,2,13,1,2,3,0,1,0,0,0,21.18333333,3.367553108
BALresults/6N0csZhc.csvNshobozwabyosenumukiza J.REG,BALresults/6N0csZhc.csv,Nshobozwabyosenumukiza J.,REG,3,4,1,23:59,1,8,0,2,1,6,0,0,-21,1,3,2,2,1,0,0,0,23.98333333,0.036441974
BALresults/6N0csZhc.csvEl Gendy A.ALA,BALresults/6N0csZhc.csv,El Gendy A.,ALA,2,1,1,3:58,1,2,1,1,0,1,0,0,-2,0,1,0,0,1,0,0,0,3.966666667,10.64042017
BALresults/6N0csZhc.csvKamka-Chomke U.REG,BALresults/6N0csZhc.csv,Kamka-Chomke U.,REG,2,1,0,11:29,1,2,1,2,0,0,0,0,-15,1,0,3,0,3,1,0,0,11.48333333,-7.673120464
BALresults/6N0csZhc.csvGraham D.REG,BALresults/6N0csZhc.csv,Graham D.,REG,1,2,1,7:38,0,1,0,0,0,1,1,2,-4,0,2,4,1,0,0,0,0,7.633333333,4.828296943
BALresults/6N0csZhc.csvAzab O.ALA,BALresults/6N0csZhc.csv,Azab O.,ALA,0,0,0,2:50,0,1,0,0,0,1,0,0,-2,0,0,2,0,0,0,0,0,2.833333333,-25.95458824
BALresults/6N0csZhc.csvHabimana N.REG,BALresults/6N0csZhc.csv,Habimana N.,REG,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
BALresults/6N0csZhc.csvHagumintwari S.REG,BALresults/6N0csZhc.csv,Hagumintwari S.,REG,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
BALresults/6N0csZhc.csvNiyonkuru P.REG,BALresults/6N0csZhc.csv,Niyonkuru P.,REG,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
BALresults/6N0csZhc.csvShyaka O.REG,BALresults/6N0csZhc.csv,Shyaka O.,REG,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
BALresults/6N0csZhc.csvUmuhoza J.REG,BALresults/6N0csZhc.csv,Umuhoza J.,REG,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
BALresults/A75cRNdH.csvCele S.CAP,BALresults/A75cRNdH.csv,Cele S.,CAP,28,8,3,34:23:00,11,19,10,15,1,4,5,7,8,2,6,2,1,2,0,1,0,34.38333333,30.82010664
BALresults/A75cRNdH.csvJones F.CIT,BALresults/A75cRNdH.csv,Jones F.,CIT,27,8,2,37:44:00,9,16,7,13,2,3,7,10,-10,1,7,1,1,3,0,0,0,37.73333333,25.3500265
BALresults/A75cRNdH.csvGbinije M.CAP,BALresults/A75cRNdH.csv,Gbinije M.,CAP,18,8,5,38:32:00,6,13,2,6,4,7,2,3,7,0,8,4,1,4,0,0,0,38.53333333,15.11447232
BALresults/A75cRNdH.csvPrinsloo P.CAP,BALresults/A75cRNdH.csv,Prinsloo P.,CAP,18,3,6,37:21:00,5,16,3,7,2,9,6,6,13,0,3,4,0,3,0,0,0,37.35,10.83908969
BALresults/A75cRNdH.csvJustice J.CIT,BALresults/A75cRNdH.csv,Justice J.,CIT,9,8,4,40:00:00,3,14,2,4,1,10,2,2,-10,0,8,2,0,1,0,0,0,40,3.50515
BALresults/A75cRNdH.csvOdeke T.CIT,BALresults/A75cRNdH.csv,Odeke T.,CIT,8,2,2,17:38,3,6,1,2,2,4,0,2,-8,0,2,4,0,0,1,0,0,17.63333333,15.46809074
BALresults/A75cRNdH.csvEnabu J.CIT,BALresults/A75cRNdH.csv,Enabu J.,CIT,7,0,0,26:00:00,3,6,2,2,1,4,0,1,-12,0,0,2,0,1,0,0,0,26,3.214653846
BALresults/A75cRNdH.csvBaale F.CIT,BALresults/A75cRNdH.csv,Baale F.,CIT,6,1,0,10:24,2,7,0,0,2,7,0,0,-1,0,1,1,0,0,0,0,0,10.4,7.395865385
BALresults/A75cRNdH.csvMusongela P.CAP,BALresults/A75cRNdH.csv,Musongela P.,CAP,6,4,0,14:29,2,4,1,2,1,2,1,1,-11,1,3,3,2,0,0,0,0,14.48333333,22.89700806
BALresults/A75cRNdH.csvSelepe L.CAP,BALresults/A75cRNdH.csv,Selepe L.,CAP,6,6,3,36:01:00,2,7,1,1,1,6,1,2,9,0,6,2,1,3,0,0,0,36.01666667,2.9017677
BALresults/A75cRNdH.csvDrileba T.CIT,BALresults/A75cRNdH.csv,Drileba T.,CIT,5,7,4,29:59:00,1,7,0,0,1,7,2,2,-5,2,5,4,2,2,0,0,0,29.98333333,7.275508616
BALresults/A75cRNdH.csvGhedi A.CIT,BALresults/A75cRNdH.csv,Ghedi A.,CIT,3,3,0,7:49,1,2,1,2,0,0,1,1,2,1,2,1,0,0,0,0,0,7.816666667,18.54946695
BALresults/A75cRNdH.csvOkello J.CIT,BALresults/A75cRNdH.csv,Okello J.,CIT,3,1,0,12:10,0,2,0,2,0,0,3,4,-6,0,1,1,0,0,0,0,0,12.16666667,3.254547945
BALresults/A75cRNdH.csvMofokeng L.CAP,BALresults/A75cRNdH.csv,Mofokeng L.,CAP,2,4,1,23:55,1,3,1,3,0,0,0,0,17,1,3,4,0,0,0,0,0,23.91666667,2.375832753
BALresults/A75cRNdH.csvSibanyoni N.CAP,BALresults/A75cRNdH.csv,Sibanyoni N.,CAP,2,0,0,2:39,1,1,1,1,0,0,0,0,-3,0,0,1,0,0,0,0,0,2.65,25.93811321
BALresults/A75cRNdH.csvBarnaba N.CIT,BALresults/A75cRNdH.csv,Barnaba N.,CIT,1,1,0,3:21,0,1,0,0,0,1,1,2,2,0,1,1,0,1,0,0,0,3.35,-20.53731343
BALresults/A75cRNdH.csvRoebuck Jr. G.CIT,BALresults/A75cRNdH.csv,Roebuck Jr. G.,CIT,1,4,1,10:36,0,2,0,2,0,0,1,2,-2,1,3,2,3,2,0,0,0,10.6,8.104811321
BALresults/A75cRNdH.csvObe S.CIT,BALresults/A75cRNdH.csv,Obe S.,CIT,0,1,0,4:19,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,4.316666667,-16.46432432
BALresults/A75cRNdH.csvWhitbread D.CAP,BALresults/A75cRNdH.csv,Whitbread D.,CAP,0,4,1,12:40,0,0,0,0,0,0,0,0,10,1,3,2,0,0,0,0,0,12.66666667,6.603157895
BALresults/AoUMEpDB.csvMorais C.PET,BALresults/AoUMEpDB.csv,Morais C.,PET,18,3,3,19:19,5,10,0,0,5,10,3,3,20,0,3,3,1,0,0,0,0,19.31666667,40.55808456
BALresults/AoUMEpDB.csvYoung N.FER,BALresults/AoUMEpDB.csv,Young N.,FER,17,4,1,25:05:00,8,12,7,10,1,2,0,1,-8,2,2,3,1,4,0,0,0,25.08333333,19.59245183
BALresults/AoUMEpDB.csvNurmamade I.FER,BALresults/AoUMEpDB.csv,Nurmamade I.,FER,15,2,2,26:20:00,5,11,3,5,2,6,3,3,-7,0,2,3,1,2,0,0,0,26.33333333,16.39777215
BALresults/AoUMEpDB.csvGueye M.FER,BALresults/AoUMEpDB.csv,Gueye M.,FER,13,6,2,29:27:00,5,9,3,5,2,4,1,3,-6,2,4,3,0,6,0,0,0,29.45,7.287775891
BALresults/AoUMEpDB.csvHollis D.PET,BALresults/AoUMEpDB.csv,Hollis D.,PET,12,6,4,20:36,5,8,5,7,0,1,2,2,5,2,4,3,2,1,1,0,0,20.6,35.10441748
BALresults/AoUMEpDB.csvGakou A.PET,BALresults/AoUMEpDB.csv,Gakou A.,PET,11,5,2,19:24,4,12,2,5,2,7,1,2,20,3,2,3,1,1,0,1,0,19.4,16.76309278
BALresults/AoUMEpDB.csvGoncalves L.PET,BALresults/AoUMEpDB.csv,Goncalves L.,PET,11,4,5,1,3,6,1,2,2,4,3,3,16,1,3,1,0,2,0,0,0,24,21.497375
BALresults/AoUMEpDB.csvMajok A.PET,BALresults/AoUMEpDB.csv,Majok A.,PET,9,5,2,24:11:00,3,5,3,4,0,1,3,4,0,0,5,3,1,0,1,0,0,24.18333333,20.02403859
BALresults/AoUMEpDB.csvBuiamba G.PET,BALresults/AoUMEpDB.csv,Buiamba G.,PET,8,1,1,10:18,4,4,4,4,0,0,0,0,6,1,0,2,2,1,0,0,0,10.3,42.43262136
BALresults/AoUMEpDB.csvDundao C.PET,BALresults/AoUMEpDB.csv,Dundao C.,PET,8,2,4,17:23,2,5,0,1,2,4,2,2,14,0,2,3,1,1,0,0,0,17.38333333,21.1728092
BALresults/AoUMEpDB.csvMunguambe A.FER,BALresults/AoUMEpDB.csv,Munguambe A.,FER,7,4,2,21:36,2,9,2,6,0,3,3,4,-20,1,3,2,1,2,0,0,0,21.6,3.812685185
BALresults/AoUMEpDB.csvPerry W.FER,BALresults/AoUMEpDB.csv,Perry W.,FER,7,4,6,29:01:00,2,6,0,2,2,4,1,1,-12,0,4,2,0,2,0,0,0,29.01666667,10.00001149
BALresults/AoUMEpDB.csvBastos P.PET,BALresults/AoUMEpDB.csv,Bastos P.,PET,6,1,0,12:59,1,3,0,0,1,3,3,5,1,0,1,0,0,0,0,0,0,12.98333333,13.42852375
BALresults/AoUMEpDB.csvMalale H.FER,BALresults/AoUMEpDB.csv,Malale H.,FER,6,1,1,10:59,2,2,2,2,0,0,2,2,-13,0,1,1,2,4,0,0,0,10.98333333,17.2922003
BALresults/AoUMEpDB.csvPedro J.PET,BALresults/AoUMEpDB.csv,Pedro J.,PET,6,4,3,15:49,3,4,3,4,0,0,0,0,25,2,2,3,0,0,0,0,0,15.81666667,23.95213909
BALresults/AoUMEpDB.csvDomingos G.PET,BALresults/AoUMEpDB.csv,Domingos G.,PET,5,0,3,10:00,1,2,1,1,0,1,3,4,3,0,0,1,1,0,0,0,0,10,30.7918
BALresults/AoUMEpDB.csvSidibe B.FER,BALresults/AoUMEpDB.csv,Sidibe B.,FER,5,4,0,23:01,1,3,1,3,0,0,3,4,-18,1,3,4,0,2,0,0,0,23.01666667,1.51173063
BALresults/AoUMEpDB.csvDiabate M.PET,BALresults/AoUMEpDB.csv,Diabate M.,PET,4,0,3,14:13,1,4,1,3,0,1,2,2,9,0,0,1,1,4,0,0,0,14.21666667,-0.90063306
BALresults/AoUMEpDB.csvChirombe C.FER,BALresults/AoUMEpDB.csv,Chirombe C.,FER,3,1,0,12:15,1,2,1,1,0,1,1,2,-17,1,0,0,0,0,0,0,0,12.25,9.197061224
BALresults/AoUMEpDB.csvHendawy S.PET,BALresults/AoUMEpDB.csv,Hendawy S.,PET,3,2,0,9:51,0,4,0,2,0,2,3,4,2,1,1,0,0,1,0,0,0,9.85,-3.686903553
BALresults/AoUMEpDB.csvde Barros L.FER,BALresults/AoUMEpDB.csv,de Barros L.,FER,2,0,0,5:20,1,2,1,2,0,0,0,0,-8,0,0,2,0,0,0,1,0,5.333333333,2.31975
BALresults/AoUMEpDB.csvMbiya P.FER,BALresults/AoUMEpDB.csv,Mbiya P.,FER,1,3,0,11:13,0,1,0,1,0,0,1,2,-11,1,2,3,1,1,1,1,0,11.21666667,3.908112927
BALresults/AoUMEpDB.csvChime A.PET,BALresults/AoUMEpDB.csv,Chime A.,PET,0,0,0,1:57,0,1,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,1.95,-28.90461538
BALresults/AoUMEpDB.csvFijamo T.FER,BALresults/AoUMEpDB.csv,Fijamo T.,FER,0,0,0,4:22,0,1,0,1,0,0,0,0,-1,0,0,2,0,1,0,0,0,4.366666667,-29.18358779
BALresults/AoUMEpDB.csvHouana E.FER,BALresults/AoUMEpDB.csv,Houana E.,FER,0,0,0,1:22,0,1,0,0,0,1,0,0,-4,0,0,0,0,0,0,0,0,1.366666667,-28.67560976
BALresults/AXll0obI.csvBoissy J.DOU,BALresults/AXll0obI.csv,Boissy J.,DOU,22,4,4,23:45,6,10,1,1,5,9,5,5,6,0,4,4,2,1,0,0,0,23.75,43.55566316
BALresults/AXll0obI.csvCrawford C.DOU,BALresults/AXll0obI.csv,Crawford C.,DOU,17,4,6,40:00:00,6,18,3,9,3,9,2,3,7,0,4,1,1,4,2,0,0,40,11.011375
BALresults/AXll0obI.csvEzeh V.KWA,BALresults/AXll0obI.csv,Ezeh V.,KWA,12,2,1,24:14:00,3,10,0,1,3,9,3,4,-17,0,2,4,0,2,0,0,0,24.23333333,6.054305365
BALresults/AXll0obI.csvOriakhi M.KWA,BALresults/AXll0obI.csv,Oriakhi M.,KWA,11,3,2,27:33:00,5,9,4,6,1,3,0,0,9,0,3,0,2,3,0,1,0,27.55,13.94283122
BALresults/AXll0obI.csvOsei B.DOU,BALresults/AXll0obI.csv,Osei B.,DOU,10,3,1,21:51,5,9,5,9,0,0,0,2,14,2,1,2,0,2,1,0,0,21.85,11.7812357
BALresults/AXll0obI.csvThiam M.KWA,BALresults/AXll0obI.csv,Thiam M.,KWA,10,1,1,16:12,4,8,4,7,0,1,2,2,4,1,0,0,1,1,0,1,0,16.2,21.87882716
BALresults/AXll0obI.csvAdekoya J.KWA,BALresults/AXll0obI.csv,Adekoya J.,KWA,8,0,2,12:38,2,4,0,0,2,4,2,2,-14,0,0,0,0,1,0,0,0,12.63333333,24.22963061
BALresults/AXll0obI.csvMordi J.KWA,BALresults/AXll0obI.csv,Mordi J.,KWA,8,7,4,24:21:00,3,6,2,5,1,1,1,2,-3,2,5,0,2,2,0,0,0,24.35,20.91556468
BALresults/AXll0obI.csvDiagne M.DOU,BALresults/AXll0obI.csv,Diagne M.,DOU,6,6,1,25:00:00,3,3,3,3,0,0,0,0,6,1,5,5,0,3,5,0,0,25,14.14084
BALresults/AXll0obI.csvDiop M.DOU,BALresults/AXll0obI.csv,Diop M.,DOU,6,4,1,20:55,3,6,3,5,0,1,0,0,-1,2,2,0,2,1,0,1,0,20.91666667,16.08898805
BALresults/AXll0obI.csvConteh S.KWA,BALresults/AXll0obI.csv,Conteh S.,KWA,5,5,1,13:40,2,5,1,3,1,2,0,0,-4,1,4,1,1,1,0,1,0,13.66666667,16.20936585
BALresults/AXll0obI.csvMohammed V.KWA,BALresults/AXll0obI.csv,Mohammed V.,KWA,4,3,0,9:12,2,7,2,7,0,0,0,0,-5,1,2,1,2,0,0,1,0,9.2,14.68413043
BALresults/AXll0obI.csvMonyyong R.KWA,BALresults/AXll0obI.csv,Monyyong R.,KWA,4,5,0,27:53:00,1,10,0,7,1,3,1,2,-13,2,3,4,1,3,1,2,0,27.88333333,-7.283490735
BALresults/AXll0obI.csvNdour A.DOU,BALresults/AXll0obI.csv,Ndour A.,DOU,4,2,2,16:15,2,4,2,3,0,1,0,0,1,1,1,1,0,0,1,1,0,16.25,14.68966154
BALresults/AXll0obI.csvOchereobia M.DOU,BALresults/AXll0obI.csv,Ochereobia M.,DOU,4,5,1,9:07,2,3,2,3,0,0,0,0,2,1,4,5,0,2,0,1,0,9.116666667,7.860438757
BALresults/AXll0obI.csvAkpejiori A.KWA,BALresults/AXll0obI.csv,Akpejiori A.,KWA,3,5,0,13:21,1,2,1,2,0,0,1,2,3,3,2,2,0,0,0,1,0,13.35,13.94082397
BALresults/AXll0obI.csvKolawole M. A.KWA,BALresults/AXll0obI.csv,Kolawole M. A.,KWA,3,0,0,7:28,1,4,0,1,1,3,0,0,-6,0,0,1,0,1,0,0,0,7.466666667,-6.826875
BALresults/AXll0obI.csvNdiaye B.DOU,BALresults/AXll0obI.csv,Ndiaye B.,DOU,3,4,0,18:09,1,5,1,4,0,1,1,2,-7,0,4,0,0,1,0,0,0,18.15,-2.15785124
BALresults/AXll0obI.csvMaluach K.DOU,BALresults/AXll0obI.csv,Maluach K.,DOU,2,0,1,5:53,1,2,1,2,0,0,0,0,-1,0,0,0,0,0,0,1,0,5.883333333,13.83518414
BALresults/AXll0obI.csvFall S. D.DOU,BALresults/AXll0obI.csv,Fall S. D.,DOU,1,3,2,18:40,0,1,0,0,0,1,1,2,8,0,3,0,1,5,0,0,0,18.66666667,-6.136553571
BALresults/AXll0obI.csvAnthony W. J.KWA,BALresults/AXll0obI.csv,Anthony W. J.,KWA,0,2,0,11:43,0,3,0,2,0,1,0,0,3,1,1,1,0,2,3,0,0,11.71666667,-6.065803698
BALresults/AXll0obI.csvDienf M.DOU,BALresults/AXll0obI.csv,Dienf M.,DOU,0,0,0,0:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0
BALresults/AXll0obI.csvKareem A.KWA,BALresults/AXll0obI.csv,Kareem A.,KWA,0,0,1,5:46,0,3,0,3,0,0,0,0,8,0,0,1,1,0,0,2,0,5.766666667,-8.006358382
BALresults/AXll0obI.csvNyemeck K.KWA,BALresults/AXll0obI.csv,Nyemeck K.,KWA,0,0,0,6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
BALresults/EuClTqS4.csvYoung N.FER,BALresults/EuClTqS4.csv,Young N.,FER,29,8,2,37:14:00,10,16,8,13,2,3,7,8,-19,3,5,3,2,3,0,0,0,37.23333333,31.96968666
BALresults/EuClTqS4.csvJustice J.CIT,BALresults/EuClTqS4.csv,Justice J.,CIT,25,4,6,35:39:00,8,15,2,6,6,9,3,3,12,0,4,1,1,4,0,0,0,35.65,26.70552595
BALresults/EuClTqS4.csvJones F.CIT,BALresults/EuClTqS4.csv,Jones F.,CIT,24,7,4,33:01:00,8,16,4,8,4,8,4,7,23,2,5,1,1,1,1,2,0,33.01666667,30.90966179
BALresults/EuClTqS4.csvRoebuck Jr. G.CIT,BALresults/EuClTqS4.csv,Roebuck Jr. G.,CIT,23,9,3,34:45:00,11,20,11,17,0,3,1,3,17,5,4,2,2,2,0,0,0,34.75,26.57335252
BALresults/EuClTqS4.csvPerry W.FER,BALresults/EuClTqS4.csv,Perry W.,FER,17,8,4,38:18:00,4,15,1,5,3,10,6,6,-17,2,6,2,1,4,0,1,0,38.3,11.9629765
BALresults/EuClTqS4.csvDrileba T.CIT,BALresults/EuClTqS4.csv,Drileba T.,CIT,12,1,1,19:37,4,5,0,0,4,5,0,0,13,0,1,1,2,0,0,0,0,19.61666667,33.21063721
BALresults/EuClTqS4.csvGueye M.FER,BALresults/EuClTqS4.csv,Gueye M.,FER,9,7,2,26:50:00,2,9,2,5,0,4,5,6,-20,4,3,2,3,2,1,0,0,26.83333333,16.41980124
BALresults/EuClTqS4.csvNurmamade I.FER,BALresults/EuClTqS4.csv,Nurmamade I.,FER,7,2,2,32:48:00,2,8,1,6,1,2,2,3,-12,1,1,0,0,4,0,0,0,32.8,-0.923810976
BALresults/EuClTqS4.csvSidibe B.FER,BALresults/EuClTqS4.csv,Sidibe B.,FER,7,7,1,31:13:00,3,8,3,8,0,0,1,2,-11,3,4,5,0,3,3,0,0,31.21666667,5.43357181
BALresults/EuClTqS4.csvMunguambe A.FER,BALresults/EuClTqS4.csv,Munguambe A.,FER,5,0,1,12:33,2,7,1,3,1,4,0,0,-15,0,0,3,1,2,0,1,0,12.55,-3.435458167
BALresults/EuClTqS4.csvObe S.CIT,BALresults/EuClTqS4.csv,Obe S.,CIT,5,1,0,11:01,2,3,2,3,0,0,1,4,5,1,0,2,1,2,0,1,0,11.01666667,6.367352496
BALresults/EuClTqS4.csvOdeke T.CIT,BALresults/EuClTqS4.csv,Odeke T.,CIT,3,1,1,11:27,1,3,0,2,1,1,0,0,3,1,0,3,0,1,0,1,0,11.45,2.422270742
BALresults/EuClTqS4.csvBarnaba N.CIT,BALresults/EuClTqS4.csv,Barnaba N.,CIT,2,3,1,13:32,1,4,1,2,0,2,0,0,11,0,3,2,0,2,1,0,0,13.53333333,-4.124187192
BALresults/EuClTqS4.csvEnabu J.CIT,BALresults/EuClTqS4.csv,Enabu J.,CIT,2,3,1,17:49,1,3,1,2,0,1,0,2,7,0,3,2,1,0,0,0,0,17.81666667,3.68727783
BALresults/EuClTqS4.csvChirombe C.FER,BALresults/EuClTqS4.csv,Chirombe C.,FER,1,4,1,18:10,0,1,0,0,0,1,1,2,-4,1,3,2,0,1,0,0,0,18.16666667,0.952678899
BALresults/EuClTqS4.csvBaale F.CIT,BALresults/EuClTqS4.csv,Baale F.,CIT,0,1,2,8:55,0,1,0,0,0,1,0,0,4,0,1,1,0,1,0,0,0,8.916666667,-2.938317757
BALresults/EuClTqS4.csvHouana E.FER,BALresults/EuClTqS4.csv,Houana E.,FER,0,0,0,1:12,0,0,0,0,0,0,0,0,-3,0,0,1,0,1,0,0,0,1.2,-59.22583333
BALresults/EuClTqS4.csvMalale H.FER,BALresults/EuClTqS4.csv,Malale H.,FER,0,0,0,1:42,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,1.7,0
BALresults/EuClTqS4.csvMuhwezi I.CIT,BALresults/EuClTqS4.csv,Muhwezi I.,CIT,0,0,0,2:00,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,2,-8.587
BALresults/EuClTqS4.csvOkello J.CIT,BALresults/EuClTqS4.csv,Okello J.,CIT,0,3,2,11:34,0,0,0,0,0,0,0,0,12,2,1,4,0,1,0,0,0,11.56666667,3.445072046
BALresults/EuClTqS4.csvWalujjo E.CIT,BALresults/EuClTqS4.csv,Walujjo E.,CIT,0,0,0,0:40,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0.666666667,0
BALresults/fyaP5kUt.csvFiler A.REG,BALresults/fyaP5kUt.csv,Filer A.,REG,25,4,6,37:24:00,8,17,3,8,5,9,4,5,13,1,3,3,0,6,0,0,0,37.4,18.10462567
BALresults/fyaP5kUt.csvKonate S.ABI,BALresults/fyaP5kUt.csv,Konate S.,ABI,16,5,4,35:11:00,5,13,0,3,5,10,1,2,-10,0,5,1,0,2,0,0,0,35.18333333,13.89419233
BALresults/fyaP5kUt.csvThomas C.REG,BALresults/fyaP5kUt.csv,Thomas C.,REG,14,4,6,37:06:00,5,12,4,9,1,3,3,3,4,1,3,3,2,2,0,0,0,37.1,15.83188679
BALresults/fyaP5kUt.csvHarouna A.ABI,BALresults/fyaP5kUt.csv,Harouna A.,ABI,12,4,4,31:14:00,4,13,2,4,2,9,2,2,-7,0,4,0,2,5,0,0,0,31.23333333,7.171152615
BALresults/fyaP5kUt.csvKra U.ABI,BALresults/fyaP5kUt.csv,Kra U.,ABI,12,2,0,15:02,4,7,3,4,1,3,3,4,-2,0,2,2,0,1,0,0,0,15.03333333,22.57915743
BALresults/fyaP5kUt.csvBile C.ABI,BALresults/fyaP5kUt.csv,Bile C.,ABI,10,3,2,24:18:00,2,6,1,3,1,3,5,6,-7,2,1,2,2,3,0,0,0,24.3,14.61510288
BALresults/fyaP5kUt.csvNdayisaba D.REG,BALresults/fyaP5kUt.csv,Ndayisaba D.,REG,10,0,0,22:21,4,10,2,4,2,6,0,0,9,0,0,1,1,2,0,0,0,22.35,6.306174497
BALresults/fyaP5kUt.csvKambuy P.REG,BALresults/fyaP5kUt.csv,Kambuy P.,REG,9,8,0,17:54,4,7,4,7,0,0,1,2,10,5,3,3,0,1,2,0,0,17.9,26.02547486
BALresults/fyaP5kUt.csvRobinson A. D. J.ABI,BALresults/fyaP5kUt.csv,Robinson A. D. J.,ABI,9,5,2,23:05,3,8,3,6,0,2,3,3,-12,1,4,1,0,2,0,2,0,23.08333333,10.60154513
BALresults/fyaP5kUt.csvNshobozwabyosenumukiza J.REG,BALresults/fyaP5kUt.csv,Nshobozwabyosenumukiza J.,REG,7,10,3,21:07,3,9,2,5,1,4,0,0,-2,1,9,1,1,1,1,0,0,21.11666667,17.61390687
BALresults/fyaP5kUt.csvGraham D.REG,BALresults/fyaP5kUt.csv,Graham D.,REG,6,7,6,34:21:00,2,4,2,3,0,1,2,2,0,1,6,3,1,2,1,0,0,34.35,13.28660844
BALresults/fyaP5kUt.csvObekpa C.ABI,BALresults/fyaP5kUt.csv,Obekpa C.,ABI,6,9,3,31:22:00,3,9,3,9,0,0,0,0,-16,4,5,4,0,1,2,2,0,31.36666667,9.969277365
BALresults/fyaP5kUt.csvHagumintwari S.REG,BALresults/fyaP5kUt.csv,Hagumintwari S.,REG,3,0,1,10:33,1,2,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,10.55,5.419052133
BALresults/fyaP5kUt.csvKone F.ABI,BALresults/fyaP5kUt.csv,Kone F.,ABI,3,0,2,14:40,1,3,0,1,1,2,0,0,10,0,0,1,0,0,0,1,0,14.66666667,7.600022727
BALresults/fyaP5kUt.csvKone M.ABI,BALresults/fyaP5kUt.csv,Kone M.,ABI,2,1,1,8:38,1,1,1,1,0,0,0,0,9,0,1,3,0,0,0,0,0,8.633333333,9.703320463
BALresults/GAkp1RrC.csvBerthe S.STA,BALresults/GAkp1RrC.csv,Berthe S.,STA,23,7,4,32:11:00,6,20,4,10,2,10,9,10,15,1,6,3,2,5,1,0,0,32.18333333,17.52288969
BALresults/GAkp1RrC.csvDiarra A.STA,BALresults/GAkp1RrC.csv,Diarra A.,STA,20,16,2,27:52:00,9,12,9,11,0,1,2,3,16,5,11,1,1,2,2,0,0,27.86666667,41.75630383
BALresults/GAkp1RrC.csvFiler A.REG,BALresults/GAkp1RrC.csv,Filer A.,REG,19,1,0,36:28:00,4,13,3,7,1,6,10,11,-14,1,0,1,2,2,0,1,0,36.46666667,14.06934186
